type;10–14 years;15–19 years;20–24 years;25–29 years;30–34 years;35–39 years;40–44 years;45–49 years;50–54 years;55–59 years;60–64 years;65 years and over
01 Homicide and related offences;9;59;127;103;109;84;70;45;40;16;18;28
02 Acts intended to cause injury;3048;9582;11963;11480;10527;9109;7988;5565;3314;1734;904;902
03 Sexual assault and related offences;835;1217;862;726;726;699;661;529;447;357;277;554
04 Dangerous/negligent acts;149;373;437;337;294;192;180;113;74;37;21;34
05 Abduction/harassment;226;539;720;724;681;596;566;385;229;104;53;32
06 Robbery/extortion;278;913;651;467;341;230;147;81;47;18;9;0
07 Unlawful entry with intent;2283;3295;1653;1297;1249;1018;796;413;148;76;27;23
08 Theft;5219;20546;12223;8920;7835;6366;5215;3614;2099;1256;756;918
09 Fraud/deception;179;1504;1944;1900;1702;1335;1105;730;412;209;115;97
10 Illicit drug offences;898;12724;17790;13218;10982;8931;7318;5300;3235;1679;737;364
11 Prohibited/regulated weapons;268;1325;1969;2023;1863;1479;1177;816;505;319;196;335
12 Property damage and environmental pollution;1628;3325;3131;2153;1765;1405;1093;806;477;269;139;188
13 Public order offences;1304;10746;14778;9693;7235;5571;5083;3875;2588;1575;838;670
15 Offences against justice;113;1987;4350;4235;4013;3678;3228;2366;1529;733;395;514
16 Miscellaneous offences;219;2296;2939;2605;2513;2153;1897;1504;1294;839;567;632
